GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS279336899	2021-03-31 16:00:17.328834	12309	species	Kawall's Parrot	Amazona kawalli			20				Brazil	BR	Amazonas	BR-AM							Rio Madeira Manicore	L3148507	P	-5.8139979	-61.2995911	2003-07-23		obsr412831	S20442010	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney et al.  Morning approx. 10 km E of town; afternoon on Rio Manicore		
URN:CornellLabOfOrnithology:EBIRD:OBS279384089	2021-02-22 10:03:22.568356	12309	species	Kawall's Parrot	Amazona kawalli			6				Brazil	BR	Amazonas	BR-AM							Rio Madeira, Rio Aripuana, Nova Olinda	L3148610	P	-5.3880675	-60.4165649	2003-07-26		obsr412831	S20445385	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney et al.  West bank of Rio Aripuana (terre firme, secondary and tall forest, pm in varzea).		
URN:CornellLabOfOrnithology:EBIRD:OBS279343647	2021-02-22 10:03:22.474482	12309	species	Kawall's Parrot	Amazona kawalli			4				Brazil	BR	Amazonas	BR-AM							Rio Madeira Manicore	L3148507	P	-5.8139979	-61.2995911	2003-07-24		obsr412831	S20442499	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney et al., morning Rio Manicore (N or right bank) terra firme, second growth, milpas.  Esti Rao.  Afternoon on Madeira moving downstream.		
URN:CornellLabOfOrnithology:EBIRD:OBS279330246	2021-02-22 10:03:22.410536	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Rio Madeira Vista Nova, Rio Marmelos	L3148364	P	-6.1387228	-61.8166351	2003-07-22		obsr412831	S20441530	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney, et al., morning in terra firme on Rio Marmelos, afternoon downstream on Rio Madeira stopping at Ilha Nova.  East bank locations.		
URN:CornellLabOfOrnithology:EBIRD:OBS279324262	2020-06-11 16:40:06	12309	species	Kawall's Parrot	Amazona kawalli			3				Brazil	BR	Amazonas	BR-AM							Rio Madeira Vista Nova, Rio Marmelos	L3148364	P	-6.1387228	-61.8166351	2003-07-21		obsr412831	S20441089	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney, et al., E bank of Madeira and E bank of Rio Marmelos.		
URN:CornellLabOfOrnithology:EBIRD:OBS289245379	2021-02-22 10:01:08.562177	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Rio Juruá--Bauana Ecological Field Station	L1931706	H	-5.4386200	-67.2865800	2007-12-02		obsr419927	S21203725	Historical	P62	EBIRD					0		0	1	0		with Andy Whitaker		
URN:CornellLabOfOrnithology:EBIRD:OBS247878775	2020-05-30 09:27:42	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-10-31	06:05:00	obsr412230	S18054455	Traveling	P22	EBIRD_CAN	720	17.000		2	1		0	1	0		with Sansão (local guide). Birds recorded during morning and afternoon. Morning: trilha da Madeirinha on the right bank of the Madeirinha river. Afternoon: river trip downstream on the Roosevelt to see Perneta, an impressive Black Caiman which comes for handouts. Light rain prior to departure (from 04h30 to 05h50), and again in mid-afternoon (15h15 to 16h25).	tape recorded on Madeirinha trail	
URN:CornellLabOfOrnithology:EBIRD:OBS870730495	2020-02-26 15:40:07	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt (-8.4943, -60.9623)	L10615329	P	-8.4943000	-60.9623000	2008-10-31		obsr412230	S65119102	Historical	P62	EBIRD					0		1	1	0		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Pousada Rio Roosevelt (-8.4943, -60.9623).		
URN:CornellLabOfOrnithology:EBIRD:OBS251925437	2020-09-03 10:17:20	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-04	05:30:00	obsr412230	S18297644	Incidental	P20	EBIRD				2	1		0	1	0		with Sansão (local guide). Left by 05h30 for the Trilha do Ouro, on the left bank of the Roosevelt at the head of the Cachoeira da Gloria. Very hot and humid, and things were mostly quiet but it was still quite productive overall -- back a little earlier than other days (to the lodge by 12h00). After lunch I had a sit-in waiting for the weather to decide one way or the other. The rain held off, so I ventured onto the trail I dubbed "5k". Back by 18h00.	common by voice	
URN:CornellLabOfOrnithology:EBIRD:OBS251151248	2020-09-03 10:20:36	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-01	05:35:00	obsr412230	S18252886	Traveling	P22	EBIRD_CAN	745	15.000		2	1		0	1	0		with Sansão (local guide). Left at 05h35 for the Perneta trail, roughly 20 minutes downstream from the pousada on the right/east bank of the Roosevelt. The trail is about 1.5 km total and it makes a loop through wonderful vine and heliconia forest. We birded here until mid-day, stopping briefly at a saleiro on the way back. After lunch, left again at 15h35 for the Jacamin trail a short ways downstream on the right bank. We cut this trail short since it looked like it was going to rain, and spent the final 45 minutes of light checking out the scrubby rock and sand-bars.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS251930072	2020-05-29 21:58:29	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-05	05:30:00	obsr412230	S18297911	Traveling	P22	EBIRD	690	8.000		2	1		0	1	0		with Sansão (local guide). Hit the trails by 05h30, walking the Mirante (or as I had called it, the 5k trail) trail. A nice trail, but not terribly active in comparison to bird activity on the preceding days, and quite hot and quiet by 10h30. We walked about 3km before cutting to the river's edge where a boat was waiting for us. Back a little before noon. Early afternoon spent around the lodge with Edson Endrigo and the principals of World Wildlife Images. Left to head upriver by 15h30 to look for Bamboo Antshrike. Sansão wanted to check out a picada on the left bank of the Roosevelt upstream from the mouth of the Madeirinha, and after I get a single photo of a Dwarf Tyrant-Manakin the skies opened, soaking us.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS251871010	2020-09-03 10:20:36	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-02	05:40:00	obsr412230	S18294477	Traveling	P22	EBIRD	740	10.000		2	1		0	1	0		with Sansão (local guide). Birds recorded on the Trilha Ronca (ca. 20 minutes upstream from the lodge on the right bank of the Roosevelt), which I birded until 12h30. I reached the far side of a higher, flat area past the creek which the trail follows, before turning back - the trail is roughly 3.5 km long and has fantastic birding potential.----After lunch at the lodge I took a walk on my own on the trail to the tower and all the way to the head of the airstrip, which I followed back to the lodge.	photographed on the Ronca trail	
URN:CornellLabOfOrnithology:EBIRD:OBS252224287	2020-09-03 10:18:07	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-09	05:30:00	obsr412230	S18314485	Incidental	P20	EBIRD_CAN				2	1		0	1	0		with Sansão (local guide) in morning, then together with Sansão, Semí, and Edson Endrigo and his group in the afternoon. Distances traveled not certain, thus the list is being recorded as incidental. ----Back to the Trilha da Ronca this morning, some 25 minutes upstream on the Roosevelt. Walked its entire length (ca. 3km) and back, all was rather quiet. Then in the afternoon joined up with Edson to walk the Trilha do Socó.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS251946755	2020-09-03 10:17:42	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-06	05:30:00	obsr412230	S18298608	Incidental	P20	EBIRD				2	1		0	1	0		with Sansão (local guide). Distance covered wasn't recorded, so the list is being entered as incidental. Santa Maria trail (upstream on the right bank of the Roosevelt) in the morning, then the lodge clearing and the Madeirinha river in the afternoon.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS251914920	2021-02-22 10:01:30.348404	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-03	05:30:00	obsr412230	S18297023	Traveling	P22	EBIRD	750	10.000		2	1		0	1	0		with Sansão (local guide). The usual schedule. We headed downstream today to the Trilha da Esperança, which we birded from 05h45 to 12h30, reaching perhaps 200m beyond the big leafcutter ant colony. We spent a good part of the early morning around the dry igarapé working a Zigzag Heron (actually 3 or more birds), trying to digi-scope the birds. In the afternoon we tried upstream by boat, checking out the arm of the river just above the airstrip where there was a dead pirarara attracting vultures. Then it was up to the meeting of the Madeirinha and the Roosevelt, and then to the mouth of a lagoon - a short distance upstream from there is the spot for Bamboo Antshrike, in high tangles of slender vines, but the bird wasn't home. Back at the lodge by 18h00.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS252010582	2020-05-29 21:54:35	12309	species	Kawall's Parrot	Amazona kawalli			20				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-08	05:35:00	obsr412230	S18302033	Traveling	P22	EBIRD	745	20.000		2	1		0	1	0		with Sansão (local guide). Left by 05h35 en route to the large saleiro/barreiro below the Cachoeira do Inferninho, which we birded from 06h15 to 11h30. A good selection of mammals, and some nice views of some parrtos coming down to ingest minerals. After the afternoon rain (to 16h00), we birded the track to the upstream port, and I checked out the airstrip for a bit.	in the canopy around the barreiro below the Inferninho rapids	
URN:CornellLabOfOrnithology:EBIRD:OBS293711022	2020-01-18 12:42:32	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Amazon Tupana Lodge	L3323946	H	-4.1815364	-60.7750017	2008-12-15		obsr412230	S21579363	Historical	P62	EBIRD				4	1		0	1	0		with Rolph, Joan, and Jessica Davis.		
URN:CornellLabOfOrnithology:EBIRD:OBS250840589	2020-05-29 21:58:29	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2010-02-20	14:40:00	obsr412230	S18235013	Incidental	P20	EBIRD_CAN				2	1		0	1	0		with Rolph Davis. Checklist includes observations during a downstream boat ride in the morning nearly as far as the Perneta trail (before drive back to the lodge by rain, which extended through the rest of the morning), then along the Jacu trail to the landing strip in the afternoon from 14h40 to 19h00.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS260099059	2020-09-03 10:17:20	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2010-02-24	05:30:00	obsr412230	S18814752	Incidental	P20	EBIRD_CAN				3	1		0	1	0		with Rolph Davis and Semí. Birded the Trilha do Ouro in the morning, and took a boat trip up the Rio Roosevelt in the afternoon (which Joan Davis joined us on).		
URN:CornellLabOfOrnithology:EBIRD:OBS251016915	2020-09-03 10:17:42	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2010-02-21	06:20:00	obsr412230	S18245243	Incidental	P20	EBIRD_CAN				2	1		0	1	0		with Rolph Davis. Left the lodge at 06h20 upstream to the Pirarara trail on the right bank of the Madeirinha river, returning to the lodge by 12h00. Later we birded along the Esperança creek from 16h15 to 18h05.		
URN:CornellLabOfOrnithology:EBIRD:OBS685224357	2021-02-22 10:01:34.007071	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2010-04-12	06:00:00	obsr601274	S50619834	Historical	P62	EBIRD	720			5	1		0	1	0		Trilha do Perneta e margem do rio - manhã; Trilha da Torre à tarde		
URN:CornellLabOfOrnithology:EBIRD:OBS685523591	2020-09-03 10:17:20	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2010-04-13	05:30:00	obsr601274	S50642919	Historical	P62	EBIRD				6	1		0	1	0		Rio Roosevelt acima da confluência com o rio Madeirinhas nas Trilhas do Ronca e do Ouro		
URN:CornellLabOfOrnithology:EBIRD:OBS694579807	2021-02-22 10:06:32.851307	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt--margem oeste	L8245717	H	-8.4615094	-60.9659433	2010-04-15	06:00:00	obsr601274	S51376866	Historical	P62	EBIRD				3	1		0	1	0		dia todo. Trilha do Ouro		
URN:CornellLabOfOrnithology:EBIRD:OBS685516514	2021-03-29 12:27:09.068631	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt -- Rio Madeirinha and Campina	L4460509	H	-8.5981365	-61.0074234	2010-04-14	05:30:00	obsr601274	S50642288	Historical	P62	EBIRD				6	1		0	1	0		Trilha da Campina e Trilha da Pirarara, todo o dia até o final da tarde		
URN:CornellLabOfOrnithology:EBIRD:OBS388600206	2020-05-16 12:00:14	12309	species	Kawall's Parrot	Amazona kawalli			4				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2010-06-20	06:30:00	obsr634999	S28756340	Traveling	P22	EBIRD	480	6.000		4	1		0	1	0		With Edson Endrigo, Ivan and Lina Sjögren	Ronca trail. Seen well, even if high up in the canopy.	
URN:CornellLabOfOrnithology:EBIRD:OBS869782334	2020-02-25 11:04:12	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt (-8.4943, -60.9623)	L10615329	P	-8.4943000	-60.9623000	2010-06-20		obsr1313465	S64975531	Historical	P62	EBIRD					0		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS268429029	2018-08-22 10:51:11	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2010-10-10	05:00:00	obsr412230	S19524949	Incidental	P20	EBIRD_CAN				4	1		0	1	0		Birds recorded at Tupana Lodge, mostly along the main trail in palm-dominated terra firme forest. Incidental as no distances or times recorded. With Duncan Ritchie, John Hopkins, Bill Porteous.		
URN:CornellLabOfOrnithology:EBIRD:OBS268430742	2020-05-25 16:27:11	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2010-10-11	05:00:00	obsr412230	S19525070	Incidental	P20	EBIRD_CAN				4	1		0	1	0		Birds recorded during a full day's birding at Tupana Lodge.		
URN:CornellLabOfOrnithology:EBIRD:OBS261551101	2020-09-03 10:19:34	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2011-07-30	05:30:00	obsr412230	S18932044	Incidental	P20	EBIRD_CAN				4	1		0	1	0		with David and Jane Styer, Semí. Data entered reflects a day list from the lodge, and thus is entered as incidental as effort information not available.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS123717040	2021-02-22 10:00:37.906349	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							Barra de Sao Manoel	L1245183	P	-7.3464010	-58.1597328	2011-07-15	05:00:00	obsr51707	S8630224	Traveling	P22	EBIRD	360	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS261614359	2021-02-22 10:01:31.085847	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2011-08-01	05:30:00	obsr412230	S18937041	Incidental	P20	EBIRD_CAN				4	1		0	1	0		with David and Jane Styer, Semí from the lodge. Effort information not available, list entered as an incidental day list from the lodge area.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS454609454	2021-02-22 10:05:41.441342	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Amazonas	BR-AM							Região de Autazes, Baixo Madeira	L5224018	P	-3.5085379	-58.9737082	2013-10-23		obsr620877	S33457970	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454853160	2021-02-22 10:05:41.111719	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Amazonas	BR-AM							Região de Autazes, Baixo Madeira	L5224018	P	-3.5085379	-58.9737082	2014-05-09		obsr620877	S33480136	Historical	P62	EBIRD				3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS260564052	2020-05-28 16:22:59	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2014-06-08	06:15:00	obsr412230	S18848713	Traveling	P22	EBIRD	370	1.500		4	1		0	1	0		with Alan Bolten, Karen Bjorndal, Semí (local guide). Birds recorded on the Pirarara trail (right bank of the Madeirinha), which we birded to past the section where one passes some large rocks on the right hand side of the trail, to just past the first large Brazilnut tree.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS260543335	2020-09-03 10:18:07	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2014-06-08	15:45:00	obsr412230	S18847196	Traveling	P22	EBIRD	150	7.300		4	1		0	1	0		with Karen Bjorndal, Alan Bolten, Semí (local guide). Birds recorded downstream on the Rio Roosevelt from the lodge to the small island below the Cachoeira da Gloria -- we took a quiet arm of the Roosevelt, a lovely narrow (ca. 40m) section of river flanked by tall forest, located just below the Cach. da Glória.	HO	
URN:CornellLabOfOrnithology:EBIRD:OBS263301047	2020-05-30 09:27:42	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2014-06-10	06:50:00	obsr412230	S19068662	Traveling	P22	EBIRD_CAN	25	1.400		4	1		0	1	0		with Alan Bolten, Karen Bjorndal, Semí from lodge. Birds observed from the boat as we traveled up the Igarapé Cujubim from its mouth to the trailhead for the Campinas do Cujubim trail.	heard only, but certainly more than just a single pair. As we were to find at the campinas, the species is remarkably common along the Cujubim.	
URN:CornellLabOfOrnithology:EBIRD:OBS261446650	2020-05-30 09:27:42	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2014-06-10	05:38:00	obsr412230	S18923861	Traveling	P22	EBIRD_CAN	67	28.800		4	1		0	1	0		with Alan Bolten, Karen Bjorndal, Semí from Pousada Rio Roosevelt. Birds recorded on the boat trip upstream on the Roosevelt from the lodge's upstream port to the mouth of the Igarapé Cujubim.		
URN:CornellLabOfOrnithology:EBIRD:OBS260060674	2020-09-03 10:17:42	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2014-06-07	06:50:00	obsr412230	S18811941	Stationary	P21	EBIRD_CAN	280			4	1		0	1	0		with Alan Bolten and Karen Bjorndal, Semí (local guide). Birds recorded at the barreiro (clay lick) inside the forest downstream from the Inferninho rapids on the left bank of the Roosevelt. There was still a reasonable amount of water covering the parts of the barreiro we couldn't see, and the mud was deep in some spots that we could watch. The hoped-for Tapir didn't materialize, but a big highlight was a herd of 50+ White-lipped Peccaries which arrived in mid-morning to consume clay at the lick while we watched at close range. In late morning as we were finally deciding to leave, the Crimson-bellied Parakeets finally dropped down to the ground for their fill of mud.		
URN:CornellLabOfOrnithology:EBIRD:OBS263301760	2020-05-30 09:27:42	12309	species	Kawall's Parrot	Amazona kawalli			60				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2014-06-10	07:15:00	obsr412230	S19068713	Traveling	P22	EBIRD_CAN	200	1.500		4	1		0	1	1		with Karen Bjorndal, Alan Bolten, Semí from the lodge. Birds recorded on the Campinas do Cujubim trail, my first visit to this trail, which I found to be an excellent access to the rocky campina and campinarana habitats. The trail passes through a very short stretch of campinarana before entering a rocky (sandstone) campina which is quite extensive. Worth noting that the Cujubim is said to be too shallow to navigate by August/September, which means the trail would be out of range during the lowest water season.	remarkable numbers, possibly the most I've ever seen of the species at a single site in a morning. Count is exact, but undoubtedly undercounted as some groups may have passed overhead without vocalizing while we looked at other things. Birds were flying out of an area of taller campinarana in the direction of the Cujubim (which they passed over), perhaps en route to the Roosevelt to feed. Consisted of pairs and groups of 4 - 6 birds.	
URN:CornellLabOfOrnithology:EBIRD:OBS780135124	2020-05-29 21:36:24	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2014-10-08		obsr1390666	S57783012	Historical	P62	EBIRD					1	G4322149	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS778689184	2020-05-29 21:36:24	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2014-10-08		obsr1383205	S57665655	Historical	P62	EBIRD					1	G4322149	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454958744	2021-02-22 10:05:41.298236	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Amazonas	BR-AM							Região de Autazes, Baixo Madeira	L5224018	P	-3.5085379	-58.9737082	2014-12-09		obsr620877	S33489519	Historical	P62	EBIRD				3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS362067563	2016-02-17 21:07:43	12309	species	Kawall's Parrot	Amazona kawalli			5				Brazil	BR	Amazonas	BR-AM							Povoado Lagoinha	L3999126	P	-2.5801500	-56.4690100	2015-02-07	05:45:00	obsr561709	S26538734	Traveling	P22	EBIRD	240	3.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS327753535	2016-01-06 11:28:54	12309	species	Kawall's Parrot	Amazona kawalli			3				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt, Pará	L3732755	P	-8.4944990	-60.9619660	2015-06-10	06:25:00	obsr338435	S23972159	Traveling	P22	EBIRD	115	32.186		9	1		0	1	0		Field Guides trip. Bret Whitney leader. Upriver from the Pousada Rio Roosevelt. <br />Submitted from BirdLog World for iOS, version 1.8		
URN:CornellLabOfOrnithology:EBIRD:OBS342669899	2021-02-22 10:04:27.115487	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							Ilha do Quadro	L3913312	P	-7.1532281	-60.6872749	2015-08-06	06:00:00	obsr312212	S25057612	Traveling	P22	EBIRD	390	1.500		12	1		0	1	0			Heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS342974856	2017-10-28 11:05:27	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Amazonas	BR-AM							Aripuana cruising	L3915822	P	-5.9386493	-60.2135324	2015-08-09	06:00:00	obsr312212	S25080439	Traveling	P22	EBIRD	210	30.000		12	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS342498260	2021-02-22 10:04:27.038481	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							left bank opposite Castanheira Trail	L3908296	P	-6.9351176	-60.5342388	2015-08-05	06:00:00	obsr312212	S25045142	Traveling	P22	EBIRD	240	1.500		12	1		0	1	0			Heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS337233412	2021-02-22 10:04:25.942025	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							Campina Trail	L3858101	P	-6.6045874	-60.4677200	2015-08-03	06:30:00	obsr312212	S24678272	Traveling	P22	EBIRD	390	3.000		12	1		0	1	0			heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS342970371	2021-02-22 10:04:25.893161	12309	species	Kawall's Parrot	Amazona kawalli			6				Brazil	BR	Amazonas	BR-AM							Igarape Arauazinho	L3858092	P	-6.2961675	-60.3596592	2015-08-08	06:00:00	obsr312212	S25080096	Traveling	P22	EBIRD	390	6.000		12	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS343982772	2021-02-22 10:04:28.745079	12309	species	Kawall's Parrot	Amazona kawalli			4				Brazil	BR	Amazonas	BR-AM							Nova Olinda right bank trail	L3924554	P	-5.4696026	-60.3950644	2015-08-11	06:00:00	obsr312212	S25147792	Traveling	P22	EBIRD	360	2.000		12	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS338725702	2021-02-22 10:04:26.623621	12309	species	Kawall's Parrot	Amazona kawalli			4				Brazil	BR	Amazonas	BR-AM							Mutum Logging Road	L3872598	P	-6.7062934	-60.4451466	2015-08-04	04:30:00	obsr312212	S24779480	Traveling	P22	EBIRD	480	3.000		12	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS414069107	2019-08-19 11:49:38	12309	species	Kawall's Parrot	Amazona kawalli			6				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2015-10-28	05:45:00	obsr290902	S30387629	Traveling	P22	EBIRD	205	2.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS352589273	2020-01-18 12:42:32	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2015-10-26	05:47:00	obsr412230	S25774388	Traveling	P22	EBIRD_CAN	358	4.000		5	1		0	1	0		with Jan Smith, Rosemary & Chris Lester, Armando Sergio (mateiro). Birds recorded on the auditorium trail, returning via the main trail. Big antswarm encountered late morning along the main trail as we returned, but the sweat bees drove some of the group mad and we needed to carry on.		
URN:CornellLabOfOrnithology:EBIRD:OBS414216133	2020-05-16 11:33:37	12309	species	Kawall's Parrot	Amazona kawalli			3				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2015-10-25	05:45:00	obsr290902	S30397585	Traveling	P22	EBIRD	455	12.000		4	1		0	1	0				
