GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS335348590	2016-08-11 09:16:26	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-08-05	06:00:00	obsr300261	S24532293	Incidental	P20	EBIRD				8	0	G1369614	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS640090923	2018-07-15 19:47:55	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Lodge grounds	L2319668	H	-9.5975263	-55.9314823	2015-08-23		obsr500317	S47219238	Incidental	P20	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS334318532	2015-08-01 13:57:18	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Tower 1 Cristalino Lodge	L3801938	P	-9.5977985	-55.9324479	2015-08-01	05:50:00	obsr163746	S24456314	Stationary	P21	EBIRD	150			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS336951966	2015-09-27 22:06:29	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-08-04	05:40:00	obsr313216	S24656270	Incidental	P20	EBIRD				8	0	G1369613	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS339743419	2018-12-12 20:29:17	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Serra Trail	L2781581	H	-9.5856519	-55.9198437	2015-08-23	05:54:00	obsr286201	S24847162	Traveling	P22	EBIRD	360	2.414		6	1	G1390609	0	1	0		<br />Submitted from eBird for iOS, version 1.1.0 Build 15	Heard	
URN:CornellLabOfOrnithology:EBIRD:OBS335891285	2015-09-27 22:06:29	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-08-09	06:30:00	obsr142116	S24571766	Incidental	P20	EBIRD				1	0		0	1	0		<br />Submitted from eBird for iOS, version 1.0.1 Build 5		
URN:CornellLabOfOrnithology:EBIRD:OBS937222562	2020-09-23 10:53:33	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-08-14	05:30:00	obsr624240	S70026200	Historical	P62	EBIRD	600	10.000		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS335300414	2016-08-11 09:16:26	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-08-05	06:00:00	obsr155271	S24528773	Incidental	P20	EBIRD				8	0	G1369614	0	1	0		Morning on floating deck and first half of Serra II trail. Afternoon to 1. Figueira and Taboca trails and 2. Figueira trail and Secret Garden. <br />Submitted from eBird for iOS, version 1.0.1 Build 5		
URN:CornellLabOfOrnithology:EBIRD:OBS339017532	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-08-19	05:40:00	obsr282009	S24800405	Traveling	P22	EBIRD	200	0.800		5	1		0	1	0		Tower 1 and trail to it, led by guide Stephan Lorenz, and with Kevin Easley, Alec from Sydney, and Susan.		
URN:CornellLabOfOrnithology:EBIRD:OBS335300201	2015-09-27 22:06:29	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-08-04	05:40:00	obsr155271	S24528768	Incidental	P20	EBIRD				8	0	G1369613	0	1	0		Morning to Tower II, late afternoon to Francisco's Poçinha (bird bath). <br />Submitted from eBird for iOS, version 1.0.1 Build 5		
